DateStart,Start_camera,Distance_AVG,DateEnd,End_camera,Temps_actif,Temps_actif_format
21-05-04,11:37:53,40.25,21-05-04,11:38:01,8.36,0:00:08.358333
21-05-04,11:39:06,44.00,21-05-04,11:39:14,8.36,0:00:08.355437
21-05-04,11:39:18,45.12,21-05-04,11:39:30,12.49,0:00:12.485287
21-05-04,11:44:21,24.77,21-05-04,11:44:53,31.82,0:00:31.821383
21-05-04,11:46:51,31.25,21-05-04,11:47:00,8.37,0:00:08.370240
21-05-04,11:47:10,53.67,21-05-04,11:47:24,13.75,0:00:13.753646
21-05-04,14:14:03,59.74,21-05-04,14:15:59,116.35,0:01:56.351778
21-05-04,14:24:37,51.93,21-05-04,14:26:08,91.41,0:01:31.405596
21-05-04,16:14:09,42.40,21-05-04,16:14:19,9.57,0:00:09.565442
21-05-04,16:17:10,39.43,21-05-04,16:17:24,13.97,0:00:13.969763
21-05-04,16:17:33,42.41,21-05-04,16:18:54,80.56,0:01:20.559705
21-05-04,16:20:41,37.61,21-05-04,16:21:28,46.91,0:00:46.906378
21-05-04,16:21:42,47.99,21-05-04,16:23:33,111.43,0:01:51.427125
21-05-04,16:24:26,45.48,21-05-04,16:25:15,49.15,0:00:49.153438
21-05-04,16:25:18,47.27,21-05-04,16:27:23,124.32,0:02:04.322366
21-05-04,16:50:41,38.00,21-05-04,16:50:48,7.16,0:00:07.163071
21-05-05,09:14:17,32.11,21-05-05,09:14:32,15.04,0:00:15.038974
21-05-05,09:15:05,37.00,21-05-05,09:15:18,12.99,0:00:12.987648
21-05-05,14:24:41,34.57,21-05-05,14:24:51,10.10,0:00:10.104181
21-05-05,15:32:05,35.75,21-05-05,15:32:14,8.85,0:00:08.851891
21-05-05,15:37:43,35.38,21-05-05,15:37:54,11.12,0:00:11.124950
21-05-05,16:43:51,39.88,21-05-05,16:44:07,16.22,0:00:16.216140
21-05-05,16:51:22,61.20,21-05-05,16:51:35,12.57,0:00:12.567762
21-05-06,10:13:29,56.03,21-05-06,10:15:03,94.08,0:01:34.081782
21-05-06,11:57:46,34.76,21-05-06,11:58:27,40.94,0:00:40.937056
21-05-07,15:54:17,98.47,21-05-07,15:57:28,191.54,0:03:11.535714
21-05-10,10:40:25,45.75,21-05-10,10:40:36,11.04,0:00:11.039656
21-05-10,11:01:24,31.75,21-05-10,11:01:33,8.90,0:00:08.903646
21-05-10,14:18:53,40.40,21-05-10,14:19:05,12.14,0:00:12.139088
21-05-10,14:20:51,46.90,21-05-10,14:21:11,19.96,0:00:19.962986
21-05-10,14:24:05,42.79,21-05-10,14:24:43,37.88,0:00:37.882295
21-05-10,14:24:56,42.89,21-05-10,14:25:15,18.80,0:00:18.799974
21-05-10,14:43:25,43.07,21-05-10,14:43:49,24.74,0:00:24.739381
21-05-10,14:50:25,76.75,21-05-10,14:50:40,15.53,0:00:15.532170
21-05-10,14:51:10,46.26,21-05-10,14:51:31,21.44,0:00:21.438623
21-05-10,14:54:45,57.80,21-05-10,14:54:57,12.11,0:00:12.113876
21-05-10,15:50:35,31.91,21-05-10,15:50:48,12.84,0:00:12.844243
21-05-10,15:51:32,32.12,21-05-10,15:51:43,11.00,0:00:10.997889
21-05-10,15:53:02,31.36,21-05-10,15:53:15,12.93,0:00:12.929629
21-05-10,15:54:36,56.75,21-05-10,15:54:46,9.58,0:00:09.577851
21-05-10,15:57:15,39.50,21-05-10,15:57:23,8.46,0:00:08.461416
21-05-11,09:24:43,40.94,21-05-11,09:25:08,25.03,0:00:25.032205
21-05-11,13:59:43,38.62,21-05-11,13:59:54,11.71,0:00:11.708978
21-05-11,14:00:19,39.10,21-05-11,14:01:05,45.88,0:00:45.880160
21-05-11,14:01:18,26.62,21-05-11,14:01:33,14.49,0:00:14.486084
21-05-11,14:01:37,57.23,21-05-11,14:02:30,53.29,0:00:53.291530
21-05-11,14:03:09,57.21,21-05-11,14:03:26,17.32,0:00:17.324036
21-05-11,14:03:32,68.16,21-05-11,14:03:56,23.82,0:00:23.818934
21-05-11,14:04:04,87.58,21-05-11,14:04:53,48.82,0:00:48.821728
21-05-11,14:04:57,35.86,21-05-11,14:05:26,29.73,0:00:29.725444
21-05-11,14:24:39,63.71,21-05-11,14:24:56,16.49,0:00:16.489698
21-05-11,14:31:29,64.17,21-05-11,14:31:38,9.30,0:00:09.298196
21-05-11,15:38:24,60.34,21-05-11,15:38:59,35.31,0:00:35.305151
21-05-11,15:42:05,64.54,21-05-11,15:42:50,44.49,0:00:44.488138
21-05-11,15:43:45,62.12,21-05-11,15:44:47,62.04,0:01:02.041956
21-05-11,15:45:32,56.38,21-05-11,15:46:15,43.70,0:00:43.703592
21-05-11,15:50:32,59.08,21-05-11,15:51:12,40.27,0:00:40.269725
21-05-11,16:06:01,72.33,21-05-11,16:06:26,25.48,0:00:25.478176
21-05-11,16:11:44,59.08,21-05-11,16:12:50,66.05,0:01:06.053506
21-05-11,16:13:54,55.23,21-05-11,16:14:16,22.07,0:00:22.074697
21-05-11,16:21:13,57.40,21-05-11,16:21:25,12.33,0:00:12.333546
21-05-11,16:22:34,61.67,21-05-11,16:22:42,7.78,0:00:07.777857
21-05-11,16:23:24,54.67,21-05-11,16:23:31,7.59,0:00:07.591071
21-05-11,16:23:36,55.80,21-05-11,16:23:45,9.16,0:00:09.155554
21-05-11,16:26:33,53.92,21-05-11,16:26:47,13.69,0:00:13.685921
21-05-17,10:23:33,57.33,21-05-17,10:24:52,79.00,0:01:18.996422
21-05-17,10:25:09,59.95,21-05-17,10:26:17,67.99,0:01:07.987880
21-05-17,10:26:39,54.21,21-05-17,10:27:24,45.66,0:00:45.663843
21-05-17,10:27:35,54.80,21-05-17,10:28:44,68.62,0:01:08.619124
21-05-17,10:29:40,60.58,21-05-17,10:30:54,73.98,0:01:13.977369
21-05-17,11:01:54,55.33,21-05-17,11:02:29,34.74,0:00:34.736545
21-05-17,11:34:17,55.66,21-05-17,11:34:50,33.06,0:00:33.058133
21-05-17,15:17:30,55.33,21-05-17,15:18:02,31.86,0:00:31.862247
21-05-18,09:23:58,52.58,21-05-18,09:24:32,33.47,0:00:33.467992
21-05-18,10:55:40,49.00,21-05-18,10:55:50,9.90,0:00:09.904859
21-05-18,15:12:12,98.83,21-05-18,15:12:21,9.07,0:00:09.068948
21-05-18,15:12:34,104.12,21-05-18,15:12:52,18.53,0:00:18.534340
21-05-18,15:13:11,113.84,21-05-18,15:13:45,33.69,0:00:33.688642
21-05-19,11:47:49,70.85,21-05-19,11:48:56,67.08,0:01:07.077407
21-05-20,09:17:13,70.50,21-05-20,09:17:26,12.83,0:00:12.827449
21-05-20,09:28:39,58.06,21-05-20,09:28:58,18.74,0:00:18.741402
21-05-20,10:48:11,74.00,21-05-20,10:48:18,6.97,0:00:06.974709
21-05-20,14:27:04,56.42,21-05-20,14:28:02,58.45,0:00:58.447656
21-05-20,14:28:33,56.00,21-05-20,14:28:41,8.46,0:00:08.463737
21-05-20,15:21:39,60.86,21-05-20,15:22:36,57.44,0:00:57.437306
21-05-20,15:39:00,61.76,21-05-20,15:39:27,26.46,0:00:26.460666
21-05-21,10:57:16,70.76,21-05-21,10:58:15,59.51,0:00:59.510635
21-05-21,10:59:28,55.73,21-05-21,11:00:34,65.17,0:01:05.167569
21-05-21,14:25:24,64.73,21-05-21,14:25:41,16.58,0:00:16.581373
21-05-21,14:26:29,53.57,21-05-21,14:26:43,13.91,0:00:13.912481
21-05-21,14:32:01,56.17,21-05-21,14:32:22,21.47,0:00:21.466287
21-05-21,14:33:31,56.18,21-05-21,14:33:52,20.74,0:00:20.740023
21-05-21,14:36:36,58.20,21-05-21,14:36:49,12.50,0:00:12.495939
21-05-21,15:14:28,58.75,21-05-21,15:14:42,14.23,0:00:14.230027
21-05-21,15:18:56,83.93,21-05-21,15:19:14,17.25,0:00:17.252247
21-05-21,15:20:10,56.50,21-05-21,15:20:23,12.36,0:00:12.363078
21-05-21,15:20:39,65.46,21-05-21,15:31:24,644.60,0:10:44.597147
21-05-21,15:32:47,57.19,21-05-21,15:33:27,39.69,0:00:39.691524
21-05-21,15:53:30,66.35,21-05-21,15:53:50,19.15,0:00:19.154427
21-05-21,16:02:00,58.26,21-05-21,16:02:44,43.86,0:00:43.856504
21-05-21,16:06:43,61.86,21-05-21,16:07:13,29.83,0:00:29.833214
21-05-21,16:08:07,57.60,21-05-21,16:08:19,11.42,0:00:11.421008
21-05-21,16:08:34,41.33,21-05-21,16:08:43,9.09,0:00:09.093246
21-05-21,16:08:56,56.00,21-05-21,16:09:17,20.78,0:00:20.775956
21-05-21,16:09:56,57.00,21-05-21,16:10:06,10.25,0:00:10.253672
21-05-21,16:10:12,43.62,21-05-21,16:10:27,14.84,0:00:14.836308
21-05-21,16:10:36,50.50,21-05-21,16:10:49,12.50,0:00:12.495833
21-05-21,16:12:11,60.33,21-05-21,16:12:38,26.48,0:00:26.479592
